"","item","proficiency","timestamp"
"1",886572,33,1505251257709
"2",253753,66,1505256680947
"3",253753,95,1505256680947
"4",253753,95,1505256680947
"5",253753,100,1505256680947
"6",253753,100,1505256680947
"7",253753,67,1505360117074
"8",253753,99,1505360118880
"9",791823,1,1505330443568
"10",791823,67,1505330446172
"11",791823,100,1505330447915
"12",791823,100,1505332008046
"13",791823,100,1505346939869
"14",791823,99,1505398757042
"15",481620,1,1505359551150
"16",481620,33,1505359559650
"17",481620,67,1505359570166
"18",481620,67,1505359578876
"19",481620,99,1505359584657
"20",481620,1,1505360621885
"21",481620,33,1505360623500
"22",481620,67,1505360624725
"23",481620,99,1505360633507
"24",481620,1,1505398275202
"25",481620,33,1505398279732
"26",481620,67,1505398287102
"27",481620,67,1505398292708
"28",481620,99,1505398294638
"29",74826,1,1505333519607
"30",74826,33,1505333522009
"31",74826,33,1505333522751
"32",74826,33,1505333526879
"33",74826,67,1505333529262
"34",74826,67,1505333535361
"35",74826,67,1505333538331
"36",74826,67,1505333541248
"37",74826,67,1505333542950
"38",74826,67,1505333546459
"39",74826,67,1505333554374
"40",74826,100,1505333559825
"41",388398,66,1505253023515
"42",388398,66,1505253023515
"43",388398,95,1505253023515
"44",388398,100,1505253023515
"45",388398,100,1505256723801
"46",388398,95,1505266743528
"47",388398,100,1505266743528
"48",608949,95,1505252991732
"49",608949,95,1505252991732
"50",608949,100,1505252991732
"51",608949,100,1505256726833
"52",608949,95,1505266739915
"53",608949,100,1505266739915
"54",608949,67,1505360127657
"55",608949,99,1505360128838
"56",405257,1,1505356516921
"57",161789,33,1505250598121
"58",17473,1,1505356385973
"59",629271,33,1505241654846
"60",247390,1,1505333355520
"61",247390,33,1505333358942
"62",247390,67,1505333363556
"63",247390,67,1505333388558
"64",247390,67,1505333392646
"65",247390,100,1505333396794
"66",379377,33,1505242104784
"67",712353,1,1505359394207
"68",712353,33,1505359403184
"69",712353,33,1505359423791
"70",712353,67,1505359430759
"71",712353,99,1505359435416
"72",712353,67,1505360416836
"73",712353,67,1505360419707
"74",712353,99,1505360439559
"75",712353,99,1505398162979
"76",462271,1,1505333198086
"77",462271,1,1505333198686
"78",462271,1,1505333201675
"79",462271,33,1505333203575
"80",462271,67,1505333207178
"81",462271,67,1505333211025
"82",462271,33,1505333214394
"83",462271,1,1505333217990
"84",462271,67,1505333221047
"85",462271,100,1505333228538
"86",462271,1,1505333569137
"87",462271,100,1505333570774
"88",690466,95,1505256677526
"89",690466,95,1505256677526
"90",690466,100,1505256677526
"91",690466,100,1505256677526
"92",690466,1,1505360089427
"93",690466,67,1505360093758
"94",690466,99,1505360101048
"95",596854,1,1505359595185
"96",596854,33,1505359605145
"97",596854,67,1505359617455
"98",596854,99,1505359621093
"99",596854,1,1505360648710
"100",596854,33,1505360656854
"101",596854,67,1505360665543
"102",596854,99,1505360687378
"103",596854,1,1505398312233
"104",596854,33,1505398316893
"105",596854,67,1505398319648
"106",596854,67,1505398324873
"107",596854,99,1505398326834
"108",830877,33,1505251394990
"109",239228,1,1505360006125
"110",239228,33,1505360016007
"111",239228,67,1505360028782
"112",239228,99,1505360038497
"113",239228,1,1505398690892
"114",239228,33,1505398696905
"115",239228,67,1505398699105
"116",239228,67,1505398701336
"117",239228,99,1505398704266
"118",901265,1,1505355969210
"119",306769,1,1505356548555
"120",933150,1,1505359929519
"121",933150,33,1505359938487
"122",933150,67,1505359945542
"123",933150,67,1505359972468
"124",933150,99,1505359977350
"125",933150,33,1505359979963
"126",933150,99,1505359981708
"127",933150,1,1505398649201
"128",933150,33,1505398656005
"129",933150,67,1505398670728
"130",933150,99,1505398678137
"131",160164,1,1505359666364
"132",160164,33,1505359676934
"133",160164,67,1505359679896
"134",160164,99,1505359695799
"135",160164,99,1505398359068
"136",295406,33,1505241777215
"137",669366,1,1505330738185
"138",669366,1,1505330739139
"139",669366,1,1505330744076
"140",669366,33,1505330749086
"141",669366,33,1505330750317
"142",669366,67,1505330751444
"143",669366,67,1505330752114
"144",669366,67,1505330754485
"145",669366,67,1505330756716
"146",669366,67,1505330758252
"147",669366,100,1505330760616
"148",669366,33,1505330792654
"149",669366,67,1505330796096
"150",669366,100,1505330797371
"151",669366,33,1505332182032
"152",669366,33,1505332185613
"153",669366,67,1505332190649
"154",669366,67,1505332191405
"155",669366,100,1505332192781
"156",669366,100,1505332193433
"157",669366,100,1505332193786
"158",669366,100,1505347163843
"159",669366,99,1505398961102
"160",998718,33,1505241959207
"161",458884,33,1505243181608
"162",319685,1,1505330710739
"163",319685,33,1505330712293
"164",319685,33,1505330716795
"165",319685,67,1505330719416
"166",319685,100,1505330724188
"167",319685,100,1505330802565
"168",319685,67,1505332153429
"169",319685,67,1505332155152
"170",319685,100,1505332156859
"171",319685,100,1505332173654
"172",319685,1,1505347121456
"173",319685,33,1505347124598
"174",319685,33,1505347130475
"175",319685,67,1505347142350
"176",319685,100,1505347150898
"177",319685,67,1505398932207
"178",319685,99,1505398939615
"179",677172,66,1505256687662
"180",677172,95,1505256687662
"181",677172,95,1505256687662
"182",677172,100,1505256687662
"183",677172,100,1505256687662
"184",677172,67,1505360167298
"185",677172,99,1505360170460
"186",208482,1,1505356360943
"187",873860,1,1505333435996
"188",873860,33,1505333438691
"189",873860,67,1505333442070
"190",873860,33,1505333446121
"191",873860,67,1505333446895
"192",873860,67,1505333447498
"193",873860,67,1505333448528
"194",873860,67,1505333453323
"195",873860,67,1505333459959
"196",873860,67,1505333469342
"197",873860,100,1505333470843
"198",290875,33,1505250827676
"199",149301,1,1505359867379
"200",149301,33,1505359875158
"201",149301,67,1505359885614
"202",149301,99,1505359896117
"203",903221,1,1505333234135
"204",903221,33,1505333235563
"205",903221,33,1505333237427
"206",903221,67,1505333239089
"207",903221,67,1505333242373
"208",903221,100,1505333244800
"209",710650,1,1505333297812
"210",710650,1,1505333298691
"211",710650,33,1505333301184
"212",710650,67,1505333304654
"213",710650,67,1505333307098
"214",710650,100,1505333308903
"215",710650,100,1505333310257
"216",710650,100,1505333317127
"217",710650,100,1505333349565
"218",531426,531426,531426
"219",531426,531426,531426
"220",719629,33,1505251567217
"221",160842,1,1505330456878
"222",160842,33,1505330459463
"223",160842,67,1505330462090
"224",160842,100,1505330466467
"225",160842,1,1505330540632
"226",160842,67,1505330546693
"227",160842,100,1505330549642
"228",160842,100,1505330554060
"229",160842,67,1505330572987
"230",160842,100,1505330576846
"231",160842,1,1505332023933
"232",160842,33,1505332030830
"233",160842,33,1505332031577
"234",160842,33,1505332032725
"235",160842,33,1505332034330
"236",160842,67,1505332036115
"237",160842,67,1505332039412
"238",160842,67,1505332042552
"239",160842,100,1505332045456
"240",160842,67,1505346953908
"241",160842,67,1505346958152
"242",160842,100,1505346959683
"243",160842,1,1505398778931
"244",160842,33,1505398781622
"245",160842,33,1505398789003
"246",160842,67,1505398794750
"247",160842,99,1505398805513
"248",688321,1,1505356593017
"249",551764,1,1505359815107
"250",551764,33,1505359824079
"251",551764,67,1505359826429
"252",551764,99,1505359838072
"253",551764,1,1505398503935
"254",551764,33,1505398507003
"255",551764,33,1505398517078
"256",551764,67,1505398520463
"257",551764,67,1505398534756
"258",551764,99,1505398548551
"259",817714,33,1505251655286
"260",684588,33,1505250895421
"261",804367,33,1505242473008
"262",158825,33,1505251470373
"263",185375,1,1505359488557
"264",185375,33,1505359491836
"265",185375,67,1505359493240
"266",185375,99,1505359494257
"267",185375,1,1505360514532
"268",185375,33,1505360520438
"269",185375,67,1505360528392
"270",185375,99,1505360546416
"271",185375,99,1505398198063
"272",863648,33,1505243673998
"273",341607,33,1505242058323
"274",792576,1,1505359722990
"275",792576,33,1505359743475
"276",792576,67,1505359745415
"277",792576,99,1505359752303
"278",792576,33,1505359780935
"279",792576,99,1505359783546
"280",792576,1,1505398392778
"281",792576,33,1505398402674
"282",792576,67,1505398416351
"283",792576,99,1505398422172
"284",19085,33,1505241451771
"285",19085,66,1505241451771
"286",19085,66,1505241451771
"287",19085,66,1505241451771
"288",19085,66,1505241451771
"289",19085,66,1505241451771
"290",19085,66,1505241451771
"291",19085,66,1505241451771
"292",19085,100,1505241451771
"293",19085,100,1505241451771
"294",19085,100,1505241451771
"295",438855,1,1505359293118
"296",438855,1,1505359295175
"297",438855,33,1505359297949
"298",438855,33,1505359301650
"299",438855,67,1505359303806
"300",438855,99,1505359307833
"301",438855,67,1505360303477
"302",438855,67,1505360311997
"303",438855,99,1505360315325
"304",438855,99,1505360316109
"305",438855,99,1505360715650
"306",438855,99,1505398083821
"307",700066,33,1505243346503
"308",255575,33,1505242938960
"309",150322,1,1505356127305
"310",134468,100,1502409647030
"311",134468,100,1502409647030
"312",134468,100,1502409647030
"313",134468,100,1502409647030
"314",134468,0,1502486284900
"315",134468,0,1502486284900
"316",134468,0,1502486284900
"317",134468,0,1502486284900
"318",134468,0,1502486284900
"319",134468,0,1502486284900
"320",134468,0,1502486284900
"321",134468,0,1502486284900
"322",824640,95,1505256674898
"323",824640,66,1505256674898
"324",824640,100,1505256674898
"325",824640,100,1505256674898
"326",824640,33,1505360067415
"327",824640,67,1505360073609
"328",824640,99,1505360081483
"329",286020,1,1505330680180
"330",286020,1,1505330682817
"331",286020,1,1505330684682
"332",286020,1,1505330688155
"333",286020,33,1505330693893
"334",286020,67,1505330696177
"335",286020,100,1505330699759
"336",286020,100,1505332143826
"337",286020,100,1505347093277
"338",286020,99,1505398891828
"339",948789,1,1505333252555
"340",948789,33,1505333258073
"341",948789,67,1505333262289
"342",948789,67,1505333265781
"343",948789,100,1505333272870
"344",61848,33,1505243535251
"345",789750,789750,789750
"346",789750,789750,789750
"347",873880,33,1505242176546
"348",582910,1,1505356472256
"349",582910,100,1505356480059
"350",626095,1,1505359702057
"351",626095,33,1505359706381
"352",626095,67,1505359707740
"353",626095,67,1505359710531
"354",626095,99,1505359714580
"355",626095,33,1505398370612
"356",626095,99,1505398376675
"357",260383,1,1505359902516
"358",260383,33,1505359907289
"359",260383,67,1505359913703
"360",260383,99,1505359919613
"361",260383,33,1505398618028
"362",260383,1,1505398619261
"363",260383,67,1505398627480
"364",260383,67,1505398632158
"365",260383,99,1505398639062
"366",626772,1,1505359505066
"367",626772,33,1505359512300
"368",626772,67,1505359518768
"369",626772,99,1505359546673
"370",626772,33,1505360565210
"371",626772,67,1505360570550
"372",626772,99,1505360598857
"373",626772,33,1505398235907
"374",626772,67,1505398243332
"375",626772,99,1505398267018
"376",184886,1,1505333482002
"377",184886,1,1505333486349
"378",184886,1,1505333488133
"379",184886,1,1505333488498
"380",184886,33,1505333489346
"381",184886,67,1505333493356
"382",184886,67,1505333503076
"383",184886,67,1505333509176
"384",184886,100,1505333510530
"385",184886,100,1505333512676
"386",399267,1,1505359273732
"387",399267,1,1505359275479
"388",399267,33,1505359277474
"389",399267,67,1505359283994
"390",399267,99,1505359286670
"391",399267,1,1505360251556
"392",399267,33,1505360261470
"393",399267,67,1505360271221
"394",399267,99,1505360285119
"395",399267,1,1505360736657
"396",399267,99,1505360744488
"397",399267,67,1505398071815
"398",399267,67,1505398074656
"399",399267,99,1505398075672
"400",222394,1,1505333404257
"401",222394,33,1505333406258
"402",222394,67,1505333409438
"403",222394,67,1505333412973
"404",222394,67,1505333416044
"405",222394,100,1505333418947
"406",254391,1,1505356264405
"407",351831,100,1505256694851
"408",351831,100,1505256694851
"409",351831,100,1505256694851
"410",351831,100,1505256694851
"411",351831,99,1505360137805
"412",37415,1,1505330654982
"413",37415,33,1505330658200
"414",37415,33,1505330659515
"415",37415,33,1505330659724
"416",37415,67,1505330661508
"417",37415,67,1505330662413
"418",37415,67,1505330662798
"419",37415,100,1505330664868
"420",37415,33,1505332129419
"421",37415,33,1505332132015
"422",37415,33,1505332134074
"423",37415,67,1505332136830
"424",37415,67,1505332137653
"425",37415,100,1505332139956
"426",37415,100,1505332167153
"427",37415,100,1505347086343
"428",37415,67,1505398885337
"429",37415,99,1505398886083
"430",363538,33,1505256682387
"431",363538,33,1505256682387
"432",363538,100,1505256682387
"433",363538,100,1505256682387
"434",363538,1,1505360106835
"435",363538,99,1505360110858
"436",211272,1,1505330474494
"437",211272,1,1505330478002
"438",211272,33,1505330480472
"439",211272,67,1505330483585
"440",211272,100,1505330485313
"441",211272,33,1505330515239
"442",211272,33,1505330519331
"443",211272,33,1505330520325
"444",211272,33,1505330522947
"445",211272,33,1505330530601
"446",211272,33,1505330531077
"447",211272,33,1505330532135
"448",211272,67,1505330533060
"449",211272,100,1505330535815
"450",211272,100,1505330558086
"451",211272,67,1505330558959
"452",211272,67,1505330562114
"453",211272,100,1505330566422
"454",211272,33,1505332054694
"455",211272,33,1505332057994
"456",211272,33,1505332058560
"457",211272,33,1505332064006
"458",211272,33,1505332064981
"459",211272,67,1505332068036
"460",211272,100,1505332068731
"461",211272,33,1505347001156
"462",211272,67,1505347006162
"463",211272,100,1505347012049
"464",211272,33,1505347234181
"465",211272,100,1505347242231
"466",211272,67,1505398813195
"467",211272,99,1505398814967
"468",96952,1,1505359359061
"469",96952,33,1505359362905
"470",96952,33,1505359367064
"471",96952,67,1505359370151
"472",96952,99,1505359383441
"473",96952,1,1505360372160
"474",96952,33,1505360380665
"475",96952,67,1505360386775
"476",96952,99,1505360394044
"477",96952,67,1505360781008
"478",96952,99,1505360782482
"479",96952,67,1505398123195
"480",96952,99,1505398133249
"481",999017,1,1505359757306
"482",999017,33,1505359759451
"483",999017,67,1505359761322
"484",999017,99,1505359763963
"485",999017,67,1505398437696
"486",999017,99,1505398442331
"487",908099,33,1505251119581
"488",882547,33,1505256690515
"489",882547,33,1505256690515
"490",882547,100,1505256690515
"491",882547,100,1505256690515
"492",882547,1,1505360202980
"493",882547,33,1505360208948
"494",882547,67,1505360210891
"495",882547,99,1505360219196
"496",760344,1,1505330493499
"497",760344,1,1505330496707
"498",760344,33,1505330499275
"499",760344,67,1505330502214
"500",760344,67,1505330506666
"501",760344,100,1505330508871
"502",760344,67,1505330618742
"503",760344,67,1505330625712
"504",760344,100,1505330627012
"505",760344,1,1505332079885
"506",760344,1,1505332083551
"507",760344,33,1505332084658
"508",760344,33,1505332087746
"509",760344,33,1505332088663
"510",760344,67,1505332090033
"511",760344,67,1505332091133
"512",760344,67,1505332092309
"513",760344,67,1505332095875
"514",760344,100,1505332098512
"515",760344,100,1505332100304
"516",760344,1,1505347039142
"517",760344,33,1505347043410
"518",760344,33,1505347049904
"519",760344,67,1505347051740
"520",760344,100,1505347067374
"521",760344,67,1505398839865
"522",760344,99,1505398846679
"523",226656,1,1505330766408
"524",226656,33,1505330771734
"525",226656,67,1505330775702
"526",226656,67,1505330776193
"527",226656,67,1505330778084
"528",226656,67,1505330779032
"529",226656,67,1505330779401
"530",226656,67,1505330780367
"531",226656,67,1505330780571
"532",226656,100,1505330781972
"533",226656,33,1505332205885
"534",226656,67,1505332207503
"535",226656,67,1505332208531
"536",226656,100,1505332213291
"537",226656,100,1505332214026
"538",226656,100,1505332219629
"539",226656,67,1505347187104
"540",226656,67,1505347190648
"541",226656,100,1505347198159
"542",226656,99,1505398972005
"543",322152,1,1505356212898
"544",354068,33,1505242289136
"545",172267,33,1505238670791
"546",960213,33,1505251328322
"547",778235,1,1505330590277
"548",778235,1,1505330592026
"549",778235,33,1505330594643
"550",778235,33,1505330595511
"551",778235,67,1505330596435
"552",778235,67,1505330599479
"553",778235,100,1505330602059
"554",778235,33,1505330634859
"555",778235,67,1505330641041
"556",778235,67,1505330641593
"557",778235,100,1505330643111
"558",778235,67,1505332108746
"559",778235,100,1505332111293
"560",778235,100,1505347075914
"561",778235,67,1505398860574
"562",778235,99,1505398861914
"563",831780,1,1505356167658
"564",707119,1,1505359770880
"565",707119,33,1505359772345
"566",707119,33,1505359788406
"567",707119,67,1505359789364
"568",707119,99,1505359806431
"569",707119,1,1505398455636
"570",707119,33,1505398475635
"571",707119,67,1505398478867
"572",707119,99,1505398483314
"573",212172,33,1505242000527
"574",95342,33,1505256685614
"575",95342,95,1505256685614
"576",95342,95,1505256685614
"577",95342,66,1505256685614
"578",95342,66,1505256685614
"579",95342,95,1505256685614
"580",95342,100,1505256685614
"581",95342,100,1505256685614
"582",95342,33,1505360177901
"583",95342,67,1505360180944
"584",95342,99,1505360192976
"585",90300,1,1505359313402
"586",90300,33,1505359318542
"587",90300,33,1505359325379
"588",90300,67,1505359334729
"589",90300,99,1505359346807
"590",90300,1,1505360323557
"591",90300,33,1505360325082
"592",90300,67,1505360330086
"593",90300,99,1505360350399
"594",90300,1,1505398094457
"595",90300,33,1505398098097
"596",90300,67,1505398100750
"597",90300,99,1505398106951
"598",878610,33,1505251718695
"599",557435,1,1505359444145
"600",557435,33,1505359460573
"601",557435,67,1505359472126
"602",557435,99,1505359478064
"603",557435,1,1505360475202
"604",557435,33,1505360486082
"605",557435,67,1505360488829
"606",557435,99,1505360499756
"607",879915,1,1505333281910
"608",879915,33,1505333285488
"609",879915,67,1505333287318
"610",879915,67,1505333288074
"611",879915,67,1505333289473
"612",879915,67,1505333290208
"613",879915,100,1505333292635
